x,y,z
-523.480000,213.440000,100.000000
-523.480000,213.440000,100.000000
-522.560000,212.520000,100.000000
-521.640000,215.280000,100.000000
-522.560000,212.520000,100.000000
-521.640000,215.280000,100.000000
-521.640000,215.280000,100.000000
-522.560000,213.440000,100.000000
-521.640000,214.360000,100.000000
-520.720000,216.200000,100.000000
-522.560000,215.280000,100.000000
-524.400000,217.120000,100.000000
-523.480000,216.200000,100.000000
-522.560000,217.120000,100.000000
-522.560000,216.200000,100.000000
-521.640000,214.360000,100.000000
-523.480000,216.200000,100.000000
-524.400000,213.440000,100.000000
-522.560000,218.960000,100.000000
-521.640000,213.440000,100.000000
-520.720000,218.040000,100.000000
-520.720000,216.200000,100.000000
-522.560000,214.360000,100.000000
-522.560000,217.120000,100.000000
-522.560000,219.880000,100.000000
-522.560000,214.360000,100.000000
-521.640000,216.200000,100.000000
-520.720000,214.360000,100.000000
-521.640000,217.120000,100.000000
-521.640000,213.440000,100.000000
-521.640000,218.040000,100.000000
-521.640000,218.040000,100.000000
-523.480000,213.440000,100.000000
-523.480000,214.360000,100.000000
-520.720000,219.880000,100.000000
-521.640000,216.200000,100.000000
-519.800000,217.120000,100.000000
-522.560000,211.600000,100.000000
-521.640000,218.960000,100.000000
-522.560000,216.200000,100.000000
-522.560000,214.360000,100.000000
-523.480000,216.200000,100.000000
-520.720000,219.880000,100.000000
-521.640000,217.120000,100.000000
-523.480000,216.200000,100.000000
-523.480000,214.360000,100.000000
-523.480000,216.200000,100.000000
-521.640000,218.040000,100.000000
-522.560000,217.120000,100.000000
-520.720000,217.120000,100.000000
-523.480000,214.360000,100.000000
-521.640000,216.200000,100.000000
-522.560000,217.120000,100.000000
-523.480000,217.120000,100.000000
-522.560000,215.280000,100.000000
-522.560000,218.040000,100.000000
-522.560000,217.120000,100.000000
-521.640000,217.120000,100.000000
-521.640000,218.040000,100.000000
-521.640000,214.360000,100.000000
-522.560000,215.280000,100.000000
-522.560000,217.120000,100.000000
-523.480000,214.360000,100.000000
-521.640000,217.120000,100.000000
-523.480000,213.440000,100.000000
-522.560000,216.200000,100.000000
-520.720000,218.040000,100.000000
-522.560000,216.200000,100.000000
-524.400000,217.120000,100.000000
-520.720000,216.200000,100.000000
-523.480000,214.360000,100.000000
-522.560000,215.280000,100.000000
-524.400000,215.280000,100.000000
